1,0,8,,0,1,る, ,3,0,0,8, ,,ミ,, , , , , , , , , , , ,,ら,Θ,ユ,戈,癟
ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
108/01/02,"941,895","2,950,409,500","3,240.00","3,280.00","3,060.00","3,060.00",-155.00,"1,031"
108/01/03,"1,122,574","3,382,701,440","3,000.00","3,050.00","2,960.00","3,030.00",-30.00,"1,246"
108/01/04,"1,203,571","3,524,395,885","2,965.00","2,990.00","2,880.00","2,905.00",-125.00,"1,545"
108/01/07,"1,306,020","4,024,647,400","3,015.00","3,165.00","3,015.00","3,105.00",+200.00,"1,361"
108/01/08,"622,739","1,949,478,925","3,125.00","3,160.00","3,080.00","3,145.00",+40.00,670
108/01/09,"1,444,358","4,722,368,190","3,155.00","3,360.00","3,155.00","3,335.00",+190.00,"1,591"
108/01/10,"496,274","1,630,214,200","3,285.00","3,315.00","3,250.00","3,280.00",-55.00,588
108/01/11,"1,523,523","5,371,256,091","3,480.00","3,600.00","3,435.00","3,550.00",+270.00,"1,602"
108/01/14,"766,663","2,743,468,760","3,530.00","3,620.00","3,500.00","3,570.00",+20.00,882
108/01/15,"713,521","2,528,302,365","3,520.00","3,600.00","3,485.00","3,600.00",+30.00,956
108/01/16,"580,821","2,089,479,550","3,625.00","3,655.00","3,555.00","3,570.00",-30.00,674
108/01/17,"403,192","1,441,635,840","3,615.00","3,635.00","3,540.00","3,540.00",-30.00,489
108/01/18,"1,210,812","4,456,317,480","3,565.00","3,790.00","3,530.00","3,785.00",+245.00,"1,629"
108/01/21,"821,863","3,118,985,360","3,850.00","3,870.00","3,715.00","3,720.00",-65.00,983
108/01/22,"371,296","1,384,970,000","3,720.00","3,760.00","3,660.00","3,750.00",+30.00,498
108/01/23,"450,397","1,675,985,885","3,700.00","3,770.00","3,680.00","3,710.00",-40.00,542
108/01/24,"749,910","2,833,512,500","3,730.00","3,845.00","3,725.00","3,725.00",+15.00,829
108/01/25,"633,354","2,383,281,570","3,790.00","3,805.00","3,725.00","3,740.00",+15.00,703
108/01/28,"426,534","1,594,675,070","3,740.00","3,765.00","3,715.00","3,720.00",-20.00,491
108/01/29,"432,501","1,609,748,750","3,680.00","3,780.00","3,665.00","3,780.00",+60.00,517
108/01/30,"510,753","1,938,681,340","3,805.00","3,825.00","3,765.00","3,780.00", 0.00,656
